Age,Income,Loan_Amount,Credit_Score,Employment_Years,Education_Level,Housing_Status,Default
59,52154,11276,823,15,Bachelors,Own,0
49,116646,43663,315,5,PhD,Own,0
35,61157,18994,428,8,Masters,Own,1
63,52154,28499,408,26,Bachelors,Rent,0
28,148876,28040,832,3,Masters,Own,1
41,87506,48320,568,26,PhD,Own,0
59,107487,21959,461,27,Masters,Own,0
39,49486,11099,559,1,PhD,Own,1han do 
43,24018,47267,401,28,High School,Own,0
31,64028,24576,805,3,Masters,Own,1
31,22336,40946,546,0,Masters,Rent,1
44,149038,11116,836,18,High School,Own,0
56,149038,20563,430,25,Masters,Own,0
60,52265,31788,652,24,High School,Mortgage,0
44,52265,31928,495,9,Bachelors,Rent,0
23,86656,41336,681,20,PhD,Rent,0
42,75180,14847,526,14,High School,Rent,0
22,64028,31155,775,26,Masters,Rent,0
44,61157,19135,776,21,High School,Own,0
64,29446,22774,564,18,Masters,Own,1
50,116809,6742,671,15,Bachelors,Mortgage,0
58,44519,23309,785,20,High School,Mortgage,0
22,63872,5619,733,26,Bachelors,Rent,0
41,132250,22658,510,23,PhD,Mortgage,0
53,74917,39707,676,21,Masters,Mortgage,0
32,116646,25337,694,3,Masters,Rent,0
42,71356,21001,749,1,Bachelors,Rent,1
64,148876,5968,663,29,PhD,Mortgage,0
45,86656,30892,756,24,High School,Own,0
47,91907,30619,525,12,High School,Mortgage,0
62,75180,5281,430,27,Masters,Mortgage,1
48,107487,32420,775,0,Bachelors,Own,0
36,86656,20360,576,16,Bachelors,Own,0
35,76819,44030,455,12,High School,Rent,0
64,63872,6058,517,3,PhD,Rent,0
23,79379,25677,489,6,PhD,Mortgage,0
57,117720,15724,716,16,High School,Own,0
27,87779,33404,845,8,High School,Rent,1
41,148876,42946,340,3,Bachelors,Mortgage,0
29,63872,44748,606,18,PhD,Own,0
59,75180,34856,637,0,High School,Mortgage,0
38,107487,14200,613,9,High School,Rent,0
24,43710,38997,374,3,Masters,Rent,0
45,52265,30611,578,8,High School,Own,0
34,91895,46235,475,12,High School,Mortgage,0
29,87506,40057,572,13,PhD,Own,0
46,61157,6239,588,9,Bachelors,Rent,0
22,122916,43138,571,5,PhD,Rent,0
40,116646,5125,365,15,Bachelors,Mortgage,0
48,145733,28857,782,5,Masters,Mortgage,0
27,84435,20398,547,16,High School,Mortgage,0
64,84484,11638,455,9,Masters,Own,1
28,22336,11570,346,17,Bachelors,Mortgage,0
55,103122,8249,753,26,PhD,Mortgage,0
34,149038,14110,500,21,PhD,Rent,1
37,52154,45363,423,17,Masters,Rent,1
56,100910,18605,300,2,Bachelors,Mortgage,0
60,63872,17115,490,19,Masters,Mortgage,0
24,66197,44062,815,26,Masters,Rent,0
22,118723,27911,741,20,High School,Mortgage,0
26,116809,43525,442,24,Masters,Own,0
62,71356,37556,490,27,High School,Own,0
24,,17595,832,14,High School,Own,0
49,91907,6969,526,14,PhD,Mortgage,0
38,122916,48753,612,3,High School,Rent,0
46,20922,22275,601,28,High School,Mortgage,0
64,86656,9470,759,26,PhD,Mortgage,0
54,91907,15225,700,8,Masters,Rent,0
30,52265,47324,692,26,Bachelors,Rent,0
56,71356,46974,506,25,Bachelors,Rent,0
34,,47759,509,18,Bachelors,Own,0
51,149038,28196,414,23,Masters,Mortgage,1
35,63872,45287,550,27,High School,Rent,0
28,140430,18669,518,16,Bachelors,Mortgage,0
34,20922,42380,706,10,Masters,Own,1
43,148876,43006,742,24,High School,Own,0
60,103122,20577,653,8,PhD,Rent,0
41,103122,27473,849,9,Bachelors,Rent,1
36,44519,33625,441,17,High School,Mortgage,0
38,86656,20504,800,19,Bachelors,Rent,0
44,66197,29089,846,12,Bachelors,Mortgage,0
46,79201,41487,841,7,Bachelors,Rent,0
45,117720,5302,806,6,High School,Mortgage,0
61,86656,36463,580,16,Masters,Mortgage,0
49,116809,49912,723,20,High School,Mortgage,0
35,132250,34259,569,22,Bachelors,Mortgage,0
21,24018,47823,453,14,High School,Own,0
45,112738,42208,382,19,PhD,Mortgage,0
27,79379,35659,725,14,Masters,Rent,0
29,64028,40840,574,0,High School,Own,0
44,39029,36890,583,24,PhD,Own,0
21,64028,18598,472,13,Masters,Mortgage,0
64,25408,24508,626,4,PhD,Own,0
28,75180,47287,362,10,Masters,Mortgage,0
44,43710,18380,372,15,High School,Rent,1
31,149038,31984,674,1,PhD,Mortgage,0
37,30789,49633,807,7,Bachelors,Own,0
28,117720,13125,697,10,PhD,Rent,0
55,112738,41059,419,28,Masters,Mortgage,1
55,74917,9033,736,17,High School,Rent,0
53,30789,42873,764,2,Masters,Rent,0
25,87779,22087,585,29,PhD,Own,0
62,84435,45901,564,25,PhD,Rent,0
59,52154,10704,619,0,Bachelors,Own,0
61,75180,12848,675,10,High School,Rent,0
48,118723,26592,388,15,High School,Mortgage,1
27,86656,11924,502,17,PhD,Rent,0
29,84484,32208,633,29,High School,Mortgage,0
28,60631,24614,521,15,Bachelors,Mortgage,1
32,20922,5488,340,22,Masters,Rent,0
54,84435,44882,367,9,High School,Mortgage,0
53,112738,30923,813,17,PhD,Rent,0
43,25408,40941,426,5,Masters,Rent,0
44,29446,34165,554,18,Masters,Mortgage,0
57,66197,6667,315,3,Bachelors,Mortgage,0
55,84435,31213,776,26,PhD,Own,0
64,29446,9114,361,12,High School,Mortgage,0
60,118723,41321,731,23,PhD,Own,0
42,84484,12761,567,13,Masters,Mortgage,0
47,63872,36116,334,2,PhD,Rent,0
55,84435,38768,793,9,High School,Mortgage,0
21,112738,30426,768,5,High School,Rent,0
55,,22772,624,0,Bachelors,Rent,0
57,123677,43218,603,22,High School,Rent,1
34,76819,8712,575,23,High School,Own,0
23,102870,6367,500,26,PhD,Mortgage,0
21,71356,45957,744,13,PhD,Rent,0
25,149038,46781,623,7,Masters,Rent,0
46,45053,31200,334,18,Bachelors,Own,0
34,123677,8726,781,13,PhD,Mortgage,0
